# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.1000,-5.8000,0.5501,0.5501
-3.0900,-5.8100,0.5400,0.5400
-3.0900,-5.8200,0.5400,0.5400
-3.0900,-5.8300,0.5400,0.5400
-3.0900,-5.8400,0.5400,0.5400
-3.0900,-5.8500,0.5400,0.5400
-3.0900,-5.8600,0.5400,0.5400
-3.0800,-5.8700,0.5300,0.5300
-3.0800,-5.8800,0.5300,0.5300
-3.0800,-5.8900,0.5301,0.5301
-3.0800,-5.9000,0.5304,0.5304
-3.0700,-5.9100,0.5209,0.5209
-3.0600,-5.9200,0.5116,0.5116
-3.0600,-5.9300,0.5124,0.5124
-3.0500,-5.9400,0.5036,0.5036
-3.0500,-5.9500,0.5049,0.5049
-3.0500,-5.9600,0.5064,0.5064
-3.0400,-5.9700,0.4982,0.4982
-3.0400,-5.9800,0.5001,0.5001
-3.0300,-5.9900,0.4916,0.4916
-3.0300,-6.0000,0.4925,0.4925
-3.0300,-6.0100,0.4937,0.4937
-3.0300,-6.0200,0.4950,0.4950
-3.0200,-6.0300,0.4866,0.4866
-3.0200,-6.0400,0.4884,0.4884
-3.0200,-6.0500,0.4903,0.4903
-3.0200,-6.0600,0.4924,0.4924
-3.0200,-6.0700,0.4948,0.4948
-3.0100,-6.0800,0.4876,0.4876
-3.0100,-6.0900,0.4904,0.4904
-3.0100,-6.1000,0.4934,0.4934
-3.0100,-6.1100,0.4965,0.4965
-3.0100,-6.1200,0.4998,0.4998
-3.0100,-6.1300,0.5029,0.5029
-3.0100,-6.1400,0.5060,0.5060
-3.0100,-6.1500,0.5092,0.5092
-3.0100,-6.1600,0.5124,0.5124
-3.0000,-6.1700,0.5060,0.5060
-3.0000,-6.1800,0.5092,0.5092
-3.0000,-6.1900,0.5099,0.5099
-3.0000,-6.2000,0.5057,0.5057
-3.0000,-6.2100,0.5016,0.5016
-3.0000,-6.2200,0.4977,0.4977
-3.0000,-6.2300,0.4940,0.4940
-2.9900,-6.2400,0.4998,0.4998
-2.9900,-6.2500,0.4965,0.4965
-2.9900,-6.2600,0.4934,0.4934
-2.9900,-6.2700,0.4904,0.4904
-2.9900,-6.2800,0.4876,0.4876
-2.9900,-6.2900,0.4851,0.4851
-2.9900,-6.3000,0.4827,0.4827
-2.9800,-6.3100,0.4903,0.4903
-2.9800,-6.3200,0.4884,0.4884
-2.9700,-6.3300,0.4965,0.4965
-2.9700,-6.3400,0.4950,0.4950
-2.9600,-6.3500,0.5036,0.5036
-2.9600,-6.3600,0.5025,0.5025
-2.9500,-6.3700,0.5116,0.5116
-2.9500,-6.3800,0.5109,0.5109
-2.9400,-6.3900,0.5204,0.5204
-2.9400,-6.4000,0.5201,0.5201
-2.9300,-6.4100,0.5295,0.5295
-2.9300,-6.4200,0.5277,0.5277
-2.9200,-6.4300,0.5360,0.5360
-2.9100,-6.4400,0.5445,0.5445
-2.9000,-6.4500,0.5533,0.5533
-2.8900,-6.4600,0.5580,0.5580
-2.8800,-6.4700,0.5561,0.5561
-2.8800,-6.4800,0.5587,0.5587
-2.8700,-6.4900,0.5590,0.5590
-2.8600,-6.5000,0.5597,0.5597
-2.8500,-6.5100,0.5590,0.5590
-2.8500,-6.5200,0.5544,0.5544
-2.8400,-6.5300,0.5561,0.5561
-2.8300,-6.5400,0.5580,0.5580
-2.8300,-6.5500,0.5522,0.5522
-2.8200,-6.5600,0.5547,0.5547
-2.8100,-6.5700,0.5576,0.5576
-2.8000,-6.5800,0.5604,0.5604
-2.7900,-6.5900,0.5630,0.5630
-2.7800,-6.6000,0.5660,0.5660
-2.7700,-6.6100,0.5694,0.5694
-2.7600,-6.6200,0.5728,0.5728
-2.7500,-6.6300,0.5728,0.5728
-2.7400,-6.6400,0.5728,0.5728
-2.7300,-6.6500,0.5731,0.5731
-2.7200,-6.6600,0.5694,0.5694
-2.7100,-6.6700,0.5660,0.5660
-2.7000,-6.6700,0.5576,0.5576
-2.6900,-6.6800,0.5547,0.5547
-2.6900,-6.6900,0.5604,0.5604
-2.6800,-6.7000,0.5576,0.5576
-2.6700,-6.7100,0.5547,0.5547
-2.6700,-6.7200,0.5604,0.5604
-2.6600,-6.7300,0.5580,0.5580
-2.6600,-6.7400,0.5597,0.5597
-2.6500,-6.7500,0.5580,0.5580
-2.6400,-6.7600,0.5561,0.5561
-2.6300,-6.7700,0.5544,0.5544
-2.6200,-6.7800,0.5532,0.5532
-2.6100,-6.7900,0.5523,0.5523
-2.6000,-6.8000,0.5517,0.5517
-2.5900,-6.8100,0.5515,0.5515
-2.5800,-6.8200,0.5515,0.5515
-2.5700,-6.8300,0.5515,0.5515
-2.5600,-6.8400,0.5515,0.5515
-2.5500,-6.8500,0.5515,0.5515
-2.5400,-6.8600,0.5515,0.5515
-2.5400,-6.8700,0.5449,0.5449
-2.5300,-6.8800,0.5456,0.5456
